,name,mission_title,hours_mission,decade_of_mission,year_of_mission,sex,year_of_birth,nationality,total_number_of_missions,total_hrs_sum
730,Yuri Vladimirovich Usachyov,Mir EO-15,4368.45,1990,1994,male,1957,U.S.S.R/Russia,4,13270.42
731,Yuri Vladimirovich Usachyov,Mir EO-21,4651.12,1990,1996,male,1957,U.S.S.R/Russia,4,13270.42
732,Yuri Vladimirovich Usachyov,STS 101,236.17,2000,2000,male,1957,U.S.S.R/Russia,4,13270.42
733,Yuri Vladimirovich Usachyov,2,4014.68,2000,2001,male,1957,U.S.S.R/Russia,4,13270.42
734,"Sega, Ronald M.",STS-60,199.0,1990,1994,male,1952,U.S.,2,420.0
735,"Sega, Ronald M.",STS-76,221.0,1990,1996,male,1952,U.S.,2,420.0
736,"Jones, Thomas D.",STS-59,269.0,1990,1994,male,1955,U.S.,4,1272.82
737,"Jones, Thomas D.",STS-68,269.0,1990,1994,male,1955,U.S.,4,1272.82
738,"Jones, Thomas D.",STS-80,423.0,1990,1996,male,1955,U.S.,4,1272.82
739,"Jones, Thomas D.",STS-98,309.0,2000,2001,male,1955,U.S.,4,1272.82
740,"Malenchenko, Yuri",16,3022.0,1990,1994,male,1961,U.S.S.R/Russia,6,16872.47
741,"Malenchenko, Yuri",STS­106,283.0,2000,2000,male,1961,U.S.S.R/Russia,6,16872.47
742,"Malenchenko, Yuri",7,4438.0,2000,2003,male,1961,U.S.S.R/Russia,6,16872.47
743,"Malenchenko, Yuri",16,4603.0,2000,2007,male,1961,U.S.S.R/Russia,6,16872.47
744,"Malenchenko, Yuri",32,3047.0,2010,2012,male,1961,U.S.S.R/Russia,6,16872.47
745,"Malenchenko, Yuri",46,1477.0,2010,2015,male,1961,U.S.S.R/Russia,6,16872.47
746,"Musabayev, Talgat",16,3002.0,1990,1994,male,1951,U.S.S.R/Russia,3,8193.8
747,"Musabayev, Talgat",25,4980.0,1990,1998,male,1951,U.S.S.R/Russia,3,8193.8
748,"Musabayev, Talgat",Soyuz TM­32/31,190.0,2000,2001,male,1951,U.S.S.R/Russia,3,8193.8
749,"Halsell, James D., Jr.",STS-65,353.0,1990,1994,male,1956,U.S.,5,1257.0
